metric,runs_allowed,era_plus,era_minus_fip,drs,oaa,babip_allowed
runs_allowed,1.000,-0.778,0.532,-0.276,-0.142,0.754
era_plus,-0.778,1.000,-0.345,0.745,0.635,-0.828
era_minus_fip,0.532,-0.345,1.000,-0.347,-0.287,0.616
drs,-0.276,0.745,-0.347,1.000,0.959,-0.651
oaa,-0.142,0.635,-0.287,0.959,1.000,-0.467
babip_allowed,0.754,-0.828,0.616,-0.651,-0.467,1.000
