season,team,wins,runs_allowed,era,fip,era_minus_fip,era_plus,babip_allowed,drs,oaa,defensive_war,pitching_war
2023,Milwaukee Brewers,92,647,3.71,4.09,-0.38,116,0.281,52,24,13.6,18.1
2024,Milwaukee Brewers,94,623,3.66,3.92,-0.26,121,0.279,58,26,14.1,19.4
